,Target RPM: 225,,,,,,,,,,,,,,,,
Test Values of kp,,,,,,,,Test Values of ki for kp = 10,,,,,,Test Values of kp and ki,,,
kp = 12,Average:,kp = 10,Average:,kp = 8,Average:,kp = 5,Average:,ki = 20,Average:,ki = 15,Average:,ki = 10,Average:,kp = 8; ki = 15,Average:,kp = 5; ki = 20,Average:
-210.01,-208.82,-203.92,-205.40,-200.79,-200.76,-187.27,-187.93,-228.71,-225.04,-226.03,-225.14,-222.53,-224.82,-221.67,-224.46,-223.33,-225.03
-208.75,Median:,-204.73,Median:,-200.04,Median:,-188.09,Median:,-228.47,Median:,-230.08,Median:,-224.87,Median:,-221.4,Median:,-225.12,Median:
-208.57,-208.80,-205.42,-205.33,-200.93,-200.85,-189.67,-187.96,-226.01,-224.93,-230.49,-225.27,-225.96,-224.64,-222.83,-224.23,-225.92,-225.03
-207.98,Max:,-205.49,Max:,-200.84,Max:,-189.84,Max:,-224.61,Max:,-228.4,Max:,-224.84,Max:,-223.22,Max:,-225.19,Max:
-206.33,-205.66,-206.41,-203.77,-200.28,-199.93,-189.66,-186.29,-223.3,-220.93,-227.04,-221.01,-224.18,-221.11,-221.91,-220.97,-224.78,-222.72
-207.27,Min:,-206.28,Min:,-201.2,Min:,-189.39,Min:,-221.51,Min:,-226.16,Min:,-224.74,Min:,-222.09,Min:,-225.74,Min:
-210.57,-212.79,-204.75,-207.46,-200.95,-201.95,-187.97,-189.84,-222.4,-230.48,-223.63,-230.49,-224.25,-230.2,-223.64,-228.61,-227.29,-227.57
-212,Peak-to-Peak:,-204.6,Peak-to-Peak:,-200.23,Peak-to-Peak:,-187.9,Peak-to-Peak:,-226.05,Peak-to-Peak:,-221.33,Peak-to-Peak:,-222.43,Peak-to-Peak:,-223.34,Peak-to-Peak:,-226.79,Peak-to-Peak:
-211.23,7.13,-204.83,3.69,-201.17,2.02,-187.83,3.55,-229.45,9.55,-222.15,9.48,-222.18,9.09,-221.83,7.64,-224.93,4.85
-210.63,,-204.32,,-200.93,,-187.4,,-229.73,,-223.99,,-224.38,,-222.08,,-224.79,
-208.76,,-205.48,,-200.16,,-188.22,,-227.59,,-224.74,,-225.78,,-223.55,,-224.63,
-206.12,,-206.36,,-201.06,,-188.17,,-226.38,,-225.27,,-224.99,,-223.25,,-223.15,
-206.32,,-205.36,,-200.92,,-188.14,,-225.98,,-226.64,,-224.55,,-222.11,,-222.99,
-208.4,,-205.76,,-200.3,,-188.2,,-223.68,,-227.92,,-225.12,,-222.35,,-224.64,
-209.66,,-207.08,,-201.18,,-187.21,,-221.47,,-226.65,,-224.45,,-222.12,,-225.38,
-210.71,,-206.03,,-200.94,,-187.62,,-222.55,,-223.77,,-222.45,,-220.97,,-224.82,
-211.84,,-204.47,,-200.22,,-187.98,,-224.39,,-222.59,,-222.19,,-221.35,,-224.51,
-210.71,,-204.94,,-201.07,,-187.74,,-225.02,,-222.34,,-224.38,,-223.62,,-225.51,
-208.24,,-204.79,,-200.84,,-188.48,,-225.29,,-222.19,,-225.66,,-224.68,,-227.3,
-207.5,,-204.57,,-200.22,,-188.25,,-226.46,,-224.03,,-224.88,,-223.59,,-226.92,
-207.03,,-205.94,,-201.19,,-187.62,,-227.77,,-227.38,,-224.51,,-223.04,,-225.2,
-206.98,,-206.24,,-200.95,,-187.35,,-226.56,,-229.69,,-225.1,,-223.64,,-225.07,
-209.04,,-205.58,,-200.23,,-186.47,,-224.38,,-228.73,,-224.59,,-223.27,,-225.71,
-210.44,,-205.81,,-201.14,,-186.98,,-223.63,,-225.72,,-222.86,,-221.75,,-224.7,
-209.44,,-205.33,,-201,,-187.85,,-222.69,,-224.21,,-222.55,,-221.68,,-223.45,
-209.07,,-204,,-200.35,,-188.06,,-221.73,,-222.94,,-224.41,,-223.47,,-223.98,
-208.51,,-204.43,,-201.18,,-189.02,,-223.25,,-221.22,,-225.44,,-224.2,,-224.16,
-206.63,,-205.3,,-200.87,,-188.91,,-226.61,,-222.25,,-224.52,,-223.14,,-223.27,
-206.82,,-205.32,,-200.15,,-188.18,,-229.34,,-226.13,,-224.21,,-222.87,,-223.56,
-209.63,,-206.25,,-201.06,,-187.52,,-229.14,,-229.72,,-225.07,,-223.93,,-225.34,
-211.26,,-206.38,,-200.89,,-186.29,,-226.73,,-229.82,,-224.8,,-224.09,,-227.4,
-210.91,,-204.75,,-200.22,,-186.74,,-225.35,,-227.53,,-223.1,,-222.63,,-227.57,
-210.46,,-204.77,,-201.1,,-187.67,,-223.73,,-226.11,,-222.82,,-222.22,,-225.95,
-208.78,,-205.16,,-200.89,,-187.52,,-221.38,,-225.39,,-224.61,,-223.69,,-225.61,
